,url,title,price_in_rp,district,city,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,electricity_power,property_condition,floor_count,description,market_price_2025,market_price_2023,rent_price_per_year_2025,NOI,cap_rate,property_value_growth,NPV,price_per_m2
0,https://www.rumah123.com/properti/bekasi/hos38968444/,Rumah Hadap Utara 13 menit ke Plaza Taman Harapan Baru Dibantu KPR J22157,590000000.0,Harapan Indah,Bekasi,2.0,1.0,78.0,53.0,HGB,2200.0,Bagus,2.0,"Cluster Ubud Bekasi
Babelan - Kabupaten Bekasi

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.
 
SHGB
LT 78
LB 53
2 Lantai
2 Kamar Tidur
1 Kamar Mandi
Listrik 2200 VA
Sumber Air Tanah
Hadap Utara

Fasilitas Sekitar Hunian:
2 menit ke SDIT Attaqwa 02)

4 menit ke Bimbel Nurul Fikri - Sektor 5

5 menit ke Kagum Institute For Children

5 menit ke Sekolah Islam Terpadu Assuadaa

7 menit ke Pondok Pesantren Attaqwa Putra

6 menit ke Pasar Pondok Ungu Permai

11 menit ke Pasar Marpungngah

13 menit ke Plaza Taman Harapan Baru

21 menit ke Modern Shopping

4 menit ke RSIA Viola

10 menit ke RS Taman Harapan Baru

14 menit ke RS.Muhammad Fadhil

20 menit ke Primaya Hospital Bekasi Utara

22 menit ke Rumah Sakit Tiara Bekasi

14 menit ke Terminal Bayangan Musholla Al - Jihad

19 menit ke Terminal Bayangan Taruna Jaya

22 menit ke Terminal Seroja

23 menit ke Terminal Bayangan Perjuangan 1

30 menit ke Stasiun Kranji 2

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",6.739128e+08,7.896788e+08,3.5570452e+07,2.4899316e+07,4.220223050847458,-0.07620287,-443203592.7008338,11132075.471698113
1,https://www.rumah123.com/properti/bogor/hos39351133/,Rumah LT 120 Hadap Selatan 15 menit ke Metropolitan Mall Cibubur J33551,2040000000.0,Cibubur,Bogor,3.0,2.0,120.0,100.0,SHM,2200.0,Bagus,2.0,"Kota Wisata Cluster Vancouver
Cileungsi - Kabupaten Bogor

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 120
LB 100
2 Lantai
3 Kamar Tidur
2 Kamar Mandi
Listrik 2200 VA
Sumber Air PDAM
Hadap Selatan

Fasilitas Sekitar Hunian:
9 menit ke SD Nurul Hikmah
10 menit ke SMA Negeri 15 Bekasi
15 menit ke SDN Cileungsi 10
15 menit ke SMPN 3 Cileungsi
15 menit ke SMAN 1 Cileungsi
35 menit ke SDN Bambu Apus 01

15 menit ke Metropolitan Mall Cibubur
20 menit ke Mall Ciputra Cibubur
20 menit ke Pasar Cileungsi
20 menit ke Pasar Bantargebang
25 menit ke Trans Studio Mall Cibubur
25 menit ke Grand Mall Cimanggis

7 menit ke RS MH Thamrin Cileungsi-Radjak Hospital
10 menit ke Rumah Sakit Sismadi, Cileungsi
10 menit ke Puskesmas Ciangsana
10 menit ke Puskesmas Griya Alam Sentosa
10 menit ke Puskesmas Ciketing Udik
15 menit ke Rumah Sakit Umum Mary Cileungsi
15 menit ke RS Hermina Mekarsari

10 menit ke Gerbang TOL Nagrak
15 menit ke Terminal Cileungsi
20 menit ke Stasiun Harjamukti
20 menit ke Gerbang Tol Jatikarya 2
20 menit ke Gerbang Tol Cimanggis 2
25 menit ke Gerbang Tol Cimanggis 3
25 menit ke Gerbang Tol Cimanggis 5
25 menit ke Stasiun Ciracas
25 menit ke Stasiun Kampung Rambutan

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",1.6400785e+09,1.3244573e+09,5.158293e+07,3.610805e+07,1.7700023529411764,0.112790346,313569157.3844762,20400000.0
2,https://www.rumah123.com/properti/bogor/hos39293477/,Rumah Minimalis Murah Akses Dekat Stasiun Bojong Gede DP Ringan J-22673,340000000.0,Bojong Gede,Bogor,2.0,1.0,60.0,36.0,HGB,1300.0,Bagus,1.0,"Grahapura Kemang 2
Kemang - Kabupaten Bogor

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.
SHGB
LT 60
LB 36
1 Lantai
2 Kamar Tidur
1 Kamar Mandi
Listrik 1300 VA
Sumber Air Tanah
Hadap Selatan

Fasilitas Sekitar Hunian:
7 Menit ke SMPN 1 KEMANG
8 Menit ke SMP Chandra Buana Bogor
10 Menit ke SMAN 1 Kemang
10 Menit ke SD Negeri Pondok Udik
10 Menit ke SDN Jampang 03
15 Menit ke SD Marsudirini Bogor
15 Menit ke SD Pengembangan Insani
15 Menit ke SD Negeri Sri Murni
15 Menit ke SMA Marsudirini Bogor

20 Menit ke Pasar Rakyat Kemang

10 Menit ke Puskesmas Jampang
10 Menit ke Puskesmas Pusdik Mubarak
15 Menit ke Puskesmas Cibeuteung Udik

15 Menit ke Terminal Cimulang
30 Menit ke Terminal Ciampea
30 Menit ke Gerbang Toll Kayu Manis 1
30 Menit ke Gerbang Tol Sentul Barat
35 Menit ke Gerbang Tol Sentul Selatan 2
35 Menit ke Stasiun Bojong Gede
35 Menit ke Stasiun Cilebut
40 Menit ke Stasiun Citayam

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",3.5589267e+08,3.5778886e+08,2.1212516e+07,1.4848761e+07,4.367282647058824,-0.00265342,-186213545.31555974,9444444.444444444
3,https://www.rumah123.com/properti/depok/hos39296796/,Rumah Hook 1 Lantai 7 menit ke RS Brawijaya Depok Hadap Utara J25852,840000000.0,Bojong Sari,Depok,2.0,1.0,176.0,36.0,SHM,0.0,Bagus,1.0,"Perumahan Sawangan Hill 3
Sawangan - Kota Depok

SHM
LT 176
LB 36
1 Lantai
2 Kamar Tidur
1 Kamar Mandi
Sumber Air Tanah
Hadap Utara

Fasilitas Sekitar Hunian:
4 menit ke Sekolah Menengah Atas (SMA) Negeri 10 Depok
15 menit ke SMP Negeri 18 Depok
15 menit ke SMP Muhammadiyah 19 Sawangan
20 menit ke SD Negeri Parung Bingung 2
20 menit ke SD Negeri Rangkapan Jaya Baru
25 menit ke Sekolah Dasar Negeri Meruyung

10 menit ke Mall The Park Sawangan
15 menit ke Pasar Reni Jaya Lama Depok
20 menit ke Pasar Pagi Pondok Benda
25 menit ke Mall Pamulang Square

7 menit ke RS Brawijaya Depok
8 menit ke Puskesmas Parung
10 menit ke RSUD Kota Depok
15 menit ke RS Mitra Keluarga Pamulang

7 menit ke Terminal Parung
20 menit ke Gerbang Tol Sawangan 4
20 menit ke Gerbang Tol Pamulang
30 menit ke Gerbang Tol Krukut 2
35 menit ke Stasiun Citayam
35 menit ke Stasiun Depok Baru

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",8.344521e+08,5.324677e+08,3.946124e+07,2.7622868e+07,3.2884366666666667,0.25185513,2269835755.511264,23333333.333333332
4,https://www.rumah123.com/properti/depok/hos39292101/,Rumah Luas Strategis 10 menit ke Cinere Bellevue Mall Hadap Timur J11267,2770000000.0,Cinere,Depok,5.0,2.0,170.0,240.0,SHM,2200.0,Bagus,2.0,"Bumi Pusaka Cinere
Cinere - Kota Depok

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.
 
SHM
LT 170
LB 240
2 Lantai
5 Kamar Tidur
2 Kamar Mandi
Listrik 2200 VA
Sumber Air Tanah
Hadap Timur

Fasilitas Sekitar Hunian:
2 menit ke Sd Negeri Gandul 2
3 menit ke Sekolah Dasar Negeri Gandul 1
5 menit ke Sekolah Dasar Negeri Cinere 1
6 menit ke Sekolah Dasar Negeri Cinere 2
6 menit ke Sekolah Dasar Negeri Gandul 02
8 menit ke SMP Negeri 21 Depok
8 menit ke SMP Negeri 17 Depok
10 menit ke SMA Negeri 9 Depok
10 menit ke SMA NEGERI 34 Jakarta

3 menit ke Pasar Gandul Modern
4 menit ke Pasar Segar Cinere
5 menit ke Living Plaza Cinere
7 menit ke Mal Cinere
10 menit ke Cinere Bellevue Mall

5 menit ke Uptd Puskesmas Tapos
8 menit ke UPTD Puskesmas Cinere
8 menit ke Rumah Sakit Puri Cinere
10 menit ke Rumah Sakit Ibu Dan Anak Andhika
10 menit ke Rumah Sakit Prikasih
10 menit ke Puskesmas Kec Jagakarsa

6 menit ke Gerbang Tol Brigif 4
6 menit ke Gerbang Tol Brigif
8 menit ke Gerbang Tol Krukut 2
10 menit ke Gerbang Tol Brigif 1
15 menit ke Gerbang Tol Ampera 2
15 menit ke Stasiun Lebak Bulus Grab
15 menit ke Terminal Ragunan
20 menit ke Gerbang Tol Fatmawati 2
20 menit ke Stasiun Fatmawati
20 menit ke Stasiun Pondok Cina
20 menit ke Terminal Pondok Cabe

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",2.7162522e+09,2.18464e+09,7.5737944e+07,5.301656e+07,1.9139552346570399,0.115051985,496575099.31669235,11541666.666666666
5,https://www.rumah123.com/properti/bekasi/hos39315541/,Rumah Luas SHM 10 Menit ke RS Citra Harapan Siap Huni Bebas Banjir J-24933,3430000000.0,Harapan Indah,Bekasi,4.0,4.0,160.0,250.0,SHM,3500.0,Bagus,3.0,"Metland Menteng Cakung
Cakung - Kota Jakarta Timur

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 160
LB 250
3 Lantai
4 Kamar Tidur
4 Kamar Mandi
Listrik 3500 VA
Sumber Air PDAM
Hadap Barat

Fasilitas Sekitar Hunian:
2 Menit ke Sekolah Dasar Negeri Ujung Menteng 01 Pagi
3 Menit ke SDN 02 Pagi Ujung Menteng
3 Menit ke Sekolah Dasar Negeri Ujung Menteng 06 Petang
3 Menit ke SMP ypia Al Falah Ujung Menteng
4 Menit ke SDN Ujung Menteng 04 Pagi
9 Menit ke SD, SMP, SMA Kristen Penabur
10 Menit ke SMA Negeri 10 Bekasi

7 Menit ke Mall Grand Cakung
8 Menit ke Living Plaza - Kota Harapan Indah
8 Menit ke Ramayana Harapan Indah Bekasi
8 Menit ke Courts Harapan Indah

7 Menit ke Puskesmas Ujung Menteng
10 Menit ke RS Citra Harapan
10 Menit ke Puskesmas Medan Satria
10 Menit ke Puskesmas Pejuang
10 Menit ke Puskesmas Kelurahan Cakung Barat

3 Menit ke Terminal Pulogebang
10 Menit ke Terminal Pasar Modern Harapan Indah
10 Menit ke Gerbang Tol Cakung 2
10 Menit ke Gerbang Tol Cakung 1
15 Menit ke Gerbang Tol SEMPER 1
20 Menit ke Gerbang Tol Kalimalang 1
30 Menit ke Gerbang Tol Cakung (JTD)


hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",3.4584307e+09,3.208834e+09,9.926384e+07,6.948469e+07,2.0257926530612242,0.0381639,-1384474979.2390354,13720000.0
6,https://www.rumah123.com/properti/bekasi/hos39296900/,Rumah 4 KT Siap Huni 10 Menit ke RS Helsa Jati Rahayu Bebas Banjir J29024,1470000000.0,Jatibening,Bekasi,4.0,2.0,175.0,150.0,SHM,0.0,Bagus,2.0,"Perumahan Jatibening Estate
Pondokgede - Kota Bekasi

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 175
LB 150
2 Lantai
4 Kamar Tidur
2 Kamar Mandi

Fasilitas Sekitar Hunian:
2 Menit ke SMP Islam Al Alaq

5 Menit ke SD Al-Azhar 23

8 Menit ke SDIT Al Muzzammil

8 Menit ke SMPN 23 Bekasi

15 Menit ke SMA 17 Bekasi Selatan

1 Menit ke Pasar Mediterania Jatimakmur

10 Menit ke Mall Pondok Gede

10 Menit ke ITC Pondok Gede

15 Menit ke Pasar Pondok Gede

20 Menit ke Mall Tamini Square

1 Menit ke Puskesmas JatiMakmur

5 Menit ke RS Masmitra JatiMakmur

5 Menit ke Klinik Pratama Djanti Medika

10 Menit ke RS Helsa Jati rahayu

15 Menit ke RS Mitra Keluarga JatiAsih

10 Menit ke Halte Transjakarta Pondok Gede

10 Menit ke Gerbang Tol Pondok Gede Timur 2

15 Menit ke Gerbang Tol Jakasampurna

20 Menit ke Gerbang Tol Jatiwarna

25 Menit ke Terminal Pinang Ranti



hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",1.4261784e+09,2.0544255e+09,7.404757e+07,5.1833296e+07,3.5260745578231294,-0.16681445,-1287385395.2561393,9800000.0
7,https://www.rumah123.com/properti/bogor/hos18493737/,Rumah Siap Huni 400jtan Dibantu KPR 15 Mnt ke Living World Kota Wisata Bisa Nego J24051,390000000.0,Kota Wisata,Bogor,2.0,1.0,60.0,60.0,SHM,900.0,Bagus,1.0,"Griya Alam Sentosa
Cileungsi, Bogor, Jawa Barat

*Bisa Nego
*Menerima Cash
*Bisa Dibantu KPR
*Menyediakan full furniture (sesuai permintaan customer)

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.
 
SHM
LT 60
LB 60
1 Lantai
2 Kamar Tidur
1 Kamar Mandi
Listrik 900 VA
Sumber Air Tanah
Hadap Barat

Fasilitas Sekitar Hunian:
4 Menit ke SDIT Bina Prestasi Cileungsi
5 Menit ke SD Bintang Timur
5 Menit ke SDN Cinyosog 02
5 Menit ke SMPN 3 Cileungsi
6 Menit ke SD Muhammadiyah 2 Cileungsi
6 Menit ke Muhammadiyah 2 Junior High School Cileungsi
15 Menit ke SMA Negeri 15 Bekasi
15 Menit ke SMAN 2 Cileungsi

4 Menit ke Pasar Tradisional Bunderan 2

6 Menit ke Puskesmas Griya Alam Sentosa
10 Menit ke Puskesmas Pasir Angin
15 Menit ke Puskesmas Ciketing Udik

15 Menit ke Gerbang Tol Narogong
15 Menit ke Gerbang Tol GTO Burangkeng
20 Menit ke Terminal Cileungsi
30 Menit ke Gerbang Tol Jatikarya 2
40 Menit ke Gerbang Tol Jatikarya 1


hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",4.3093254e+08,2.959929e+08,2.124276e+07,1.4869932e+07,3.812803076923077,0.20660186,619683447.7180604,6500000.0
8,https://www.rumah123.com/properti/bekasi/hos39291633/,Rumah Minimalis 10 menit ke Stasiun Lemah Abang 1 Lt Bebas Banjir J13901,560000000.0,Cikarang,Bekasi,2.0,1.0,72.0,50.0,SHM,1300.0,Bagus,1.0,"Central Park Cikarang
Cikarang Utara - Kabupaten Bekasi

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 72
LB 50
1 Lantai
2 Kamar Tidur
1 Kamar Pembantu
1 Kamar Mandi
Listrik 1300 VA
Sumber Air PDAM
Hadap Selatan

Fasilitas Sekitar Hunian:
10 menit ke SD Negeri 01 Simpangan
10 menit ke SD Negeri Karang Rahayu 02
10 menit ke SMP Negeri 2 Cikarang Utara
15 menit ke SD Negeri Tanjung Sari 02
15 menit ke SD Negeri Sukaraya 06
15 menit ke SMP Islam Al-Azhar 16 Cikarang
15 menit ke SMA N 2 CIKARANG UTARA
15 menit ke SMA Santo Leo III
20 menit ke SMP Negeri 5 Cikarang Utara
20 menit ke SMAN 1 Cikarang Utara

5 menit ke Pasar Pagi Bundaran
7 menit ke Pasar Lemah Abang
10 menit ke Pasar Tradisional Simpangan
20 menit ke Sentra Grosir Cikarang

5 menit ke Puskesmas waluya
10 menit ke Puskesmas Kecamatan Cipayung
10 menit ke Puskesmas Lemahabang
10 menit ke Rumah Sakit Annisa Cikarang
15 menit ke Rumah Sakit Asri Medika
15 menit ke Rumah Sakit Permata Keluarga Jababeka

7 menit ke Terminal Lemah Abang
10 menit ke Stasiun Lemah Abang
20 menit ke Stasiun Cikarang
20 menit ke Stasiun Kedunggedeh
25 menit ke Terminal Bis Cikarang
30 menit ke Gerbang Tol Cikarang Barat 4
30 menit ke Gerbang Tol Telaga Asih
30 menit ke Gerbang Tol Cibitung 2
35 menit ke Stasiun Cibitung

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",5.3164368e+08,5.53757e+08,3.4067908e+07,2.3847536e+07,4.258488571428572,-0.020170033,-341916812.6779593,11200000.0
9,https://www.rumah123.com/properti/depok/hos17764409/,Rumah 2 Lantai Semi Furnished Siap Huni Lingkungan Asri Tenang,9000000000.0,Cinere,Depok,5.0,4.0,420.0,600.0,SHM,7700.0,Bagus,2.0,"*SPESIFIKASI TAMBAHAN*
1. Lantai bawah terdiri dari:
=> 1 Ruang tamu;
=> 2 Ruang keluarga;
=> 1 Ruang makan;
=> 2 Kamar tidur;
=> 1 Kamar mandi;
=> 1 Dapur kering;
=> 1 Dapur basah;
=> Service area yang terdiri dari: 
• 2 Kamar ART;
• 1 Kamar mandi;
• 1 Ruang pantry
2. Lantai atas terdiri dari:
=> 1 Ruang keluarga
=> 1 Kamar tidur utama yang sangat luas yang di dalamnya ada kamar mandi luas, ruang wardrobe, dan balkon
=> 2 Kamar tidur ukuran masing-masing kurang lebih 4 x 4 m²
=> 1 Kamar mandi
=> 1 Teras/balkon yang mengarah ke bagian depan rumah
3. Semi Furnished, diantaranya:
✓ Lemari-lemari besar
✓ TV berukuran besar di ruang keluarga bawah
✓ Beberapa furniture relevan lainnya

*FASILITAS*
~ Posisi rumah menghadap taman yang terawat dengan luas sekitar 2.500 m² dan dikelilingi jalan
~ Di bagian kiri dan kanan rumah bisa digunakan akses parkir dengan kapasitas minimal 30 mobil",8.908627e+09,3.631518e+09,2.3437933e+08,1.6406552e+08,1.822950222222222,0.5662508,299556992577.1307,15000000.0
10,https://www.rumah123.com/properti/bogor/hos15852801/,Dijual Rumah Asri Hadap Green Area Cluster Taman Yunani,1700000000.0,Sentul City,Bogor,3.0,2.0,208.0,90.0,SHM,1300.0,Renovasi Minimum,1.0,"Beberapa alasan mengapa membeli property di kawasan Sentul City ini :
- Investasi menjanjikan pertahun 20%-30%.
- Sertifikat terjamin.
- Exit tol Sentul City langsung menuju area kawasan perumahan.
- Aman (one gate, one cluster security 24 jam).
- Udara bersih, sejuk, segar.
- Kontur tanah berbukit (upslope, level, downslope).
- Bebas banjir areal luas 3100 hektar.
- View indah (golf, danau, sungai pegunungan).
- Nilai investasi rumah Bellanova, IKEA, RS EMC Sentul, Wisata Jungle Land, Pasar Ah poong Sentul, Eco Park, Sentul Highlands Golf Club, Taman Budaya Edutainment Centre, SICC Sentul, Hotel Harris, Wattana Hotel, Savana Hotel, Sampoerna Academy, Sekolah Pelita Harapan, BPK Penabur Fajar Hidayah, Universitas Trisakti, Universitas Tazkia

Kita juga melayani untuk pembangunan, renovasi, perencanaan pembangunan, dan lain-lain di kawasan Sentul City dan sekitarnya.",1.5362538e+09,1.4186118e+09,4.1702596e+07,2.9191816e+07,1.7171656470588235,0.04063809,-672456716.9963096,18888888.888888888
